course_id,course_title
164,Information​ ​Systems Specialization
165,-
166,Cybersecurity for Business Specialization
167,Communication Strategies for a Virtual Age
168,Improve Your English Communication Skills Specialization
169,Good with Words: Speaking and Presenting Specialization
170,Storytelling and influencing: Communicate with impact
171,User-Experience: Create a Storyboard using Storyboarder
172,How to Visualize Research Data in Tableau
173,Eine Einführung in die Finite Elemente Methode mit SimScale
174,Transferencia tecnológica: De la investigación al mercado.
175,"Excel/VBA for Creative Problem Solving, Part 1"
176,Experimentation for Improvement
177,"Excel/VBA for Creative Problem Solving, Part 2"
178,Being a researcher (in Information Science and Technology)
179,"Ethics, Technology and Engineering"
180,"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python"
181,Simulation and modeling of natural processes
182,Quantitative Methods
183,Understanding Research Methods
184,Plant Bioinformatic Methods Specialization
185,Cybersecurity Specialization
186,Quantitative Methods
187,"Excel/VBA for Creative Problem Solving, Part 1"
188,Cybersecurity Specialization
189,Chemistry
190,How Things Work: An Introduction to Physics
191,Excel Fundamentals for Data Analysis
192,Introduction to advanced tomography
193,Quantum Optics 1 : Single Photons
194,Spacecraft Dynamics Capstone: Mars Mission
195,Kinematics: Describing the Motions of Spacecraft
196,مقدمة لفيزياء ألعاب الفيديو باستخدام محرك ألعاب Unity
197,Linearer & Nichtlineare Finite Elemente Analyse mit SimScale
198,Netzkonvergenzstudien in der Finiten Elemente Methode
199,Strömungsimulation einer Kreiselpumpe
200,Astro 101: Black Holes
201,Astrobiology: Exploring Other Worlds
202,Understanding Einstein: The Special Theory of Relativity
203,Kinematics: Describing the Motions of Spacecraft
204,Analyzing the Universe
205,Imagining Other Earths
206,Data-driven Astronomy
207,Astrobiology: Exploring Other Worlds
208,Big History: Connecting Knowledge
209,How Things Work: An Introduction to Physics
210,Astronomy: Exploring Time and Space
211,Understanding Einstein: The Special Theory of Relativity
212,Big History: Connecting Knowledge
213,Understanding Einstein: The Special Theory of Relativity
214,Astronomy: Exploring Time and Space
215,Introduction to Probability and Data with R
216,The Data Scientist’s Toolbox
217,Google Data Analytics Professional Certificate
218,Data Visualization in Excel
219,Introdução à Ciência da Computação com Python Parte 1
220,Excel Skills for Business: Intermediate I
221,Spatial Analysis and Satellite Imagery in a GIS
222,Data Analytics Methods for Marketing
223,Excel Skills for Business: Essentials
224,Customer Analytics
225,AI Fundamentals for Non-Data Scientists
226,Ask Questions to Make Data-Driven Decisions
